City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Touros,75,BR,1583030224,94,-5.2,-35.46,77.0,3.36
Lavrentiya,0,RU,1583030226,85,65.58,-171.0,-2.11,8.37
Yellowknife,20,CA,1583030061,75,62.46,-114.35,-11.99,8.05
Fare,100,PF,1583030228,86,-16.7,-151.02,79.9,30.65
Riyadh,0,SA,1583030225,29,24.69,46.72,66.2,4.7
Nago,75,JP,1583030230,79,26.59,127.98,77.0,13.87
Kibala,0,TD,1583030232,56,9.11,18.35,71.6,3.36
Wahpeton,100,US,1583030233,86,46.27,-96.61,35.6,11.41
Otavalo,75,EC,1583030012,87,0.23,-78.27,59.0,5.82
Codrington,100,AU,1583030235,81,-38.27,141.97,63.14,22.84
Saint George,1,US,1583030208,33,37.1,-113.58,57.2,3.36
Salekhard,100,RU,1583030237,94,66.53,66.6,29.07,23.0
Yar-Sale,100,RU,1583030239,94,66.83,70.83,28.58,26.51
Mayo,1,US,1583030240,51,38.89,-76.51,35.01,11.41
Bethanien,70,NA,1583030241,50,-26.5,17.16,73.62,5.01
Preobrazheniye,80,RU,1583030242,79,42.9,133.91,27.23,4.16
Mackenzie,75,CA,1583030243,68,55.3,-123.17,26.6,0.63
Havøysund,100,NO,1583030244,62,71.0,24.66,24.8,21.92
Kualakapuas,100,ID,1583030246,60,-3.01,114.39,89.76,3.42
Chumphon,0,TH,1583030247,69,10.33,98.83,82.4,4.7
Port Blair,1,IN,1583030248,75,11.67,92.75,80.73,11.77
Pevek,100,RU,1583030249,96,69.7,170.31,-0.49,4.47
Cape Town,0,ZA,1583029983,82,-33.93,18.42,64.99,2.24
Laguna,1,US,1583030251,54,38.42,-121.42,59.0,11.41
Leningradskiy,99,RU,1583030253,88,69.38,178.42,2.89,13.44
Vardø,60,NO,1583030254,82,70.37,31.11,22.78,5.46
Ambon City,40,ID,1583030255,63,-3.7,128.18,91.4,8.05
Takoradze,5,GH,1583030256,95,4.88,-1.76,78.21,4.59
Dubbo,0,AU,1583030257,24,-32.25,148.62,89.6,16.11
Tazovsky,100,RU,1583030258,79,67.47,78.7,15.22,28.7
Hofn,100,IS,1583030259,67,64.25,-15.21,39.58,42.73
Necochea,0,AR,1583030154,94,-38.55,-58.74,64.0,1.99
Castro,59,BR,1583030262,92,-24.79,-50.01,58.86,8.52
Jaumave,40,MX,1583030263,56,23.42,-99.38,69.8,21.92
Hithadhoo,54,MV,1583030264,78,-0.6,73.08,82.69,13.69
San Felipe,59,VE,1583029976,92,10.34,-68.74,70.18,0.96
Popondetta,100,PG,1583030266,84,-8.75,148.25,82.22,3.67
Mount Isa,69,AU,1583030268,26,-20.73,139.5,96.8,10.29
Nantucket,1,US,1583030269,39,41.28,-70.1,30.2,11.41
Chiredzi,65,ZW,1583030270,91,-21.05,31.67,62.4,3.47
San Quintín,100,MX,1583030271,78,30.48,-115.95,59.13,5.23
Lompoc,90,US,1583030050,76,34.64,-120.46,55.99,9.17
Nioro,0,GM,1583030273,8,13.35,-15.75,74.05,5.37
Avera,1,US,1583030275,56,33.19,-82.53,45.0,6.91
Tura,0,IN,1583030276,39,25.52,90.22,80.02,4.9
Berbérati,58,CF,1583030221,43,4.26,15.79,69.42,2.71
Ucluelet,20,CA,1583030207,65,48.93,-125.55,46.4,12.75
Tasiilaq,100,GL,1583030279,72,65.61,-37.64,15.8,2.24
Chui,0,UY,1583030280,86,-33.7,-53.46,66.97,6.2
Krasnoarmeysk,32,RU,1583030281,71,51.02,45.7,30.99,1.99
Yerbogachën,98,RU,1583030283,94,61.28,108.01,6.06,5.75
Voskresenskoye,1,RU,1583030284,85,56.84,45.43,23.9,7.99
Ust'ye,10,RU,1583030285,91,59.63,39.74,15.98,10.49
Volchikha,48,RU,1583030286,85,52.03,80.38,22.3,4.68
Erdenet,100,MN,1583030287,82,49.03,104.08,14.23,4.38
Puerto Escondido,75,MX,1583030289,88,15.85,-97.07,82.4,5.82
Kahului,40,US,1583030290,69,20.89,-156.47,75.2,13.87
Rundu,100,NA,1583030291,100,-17.93,19.77,68.0,1.12
Kiryat Gat,20,IL,1583030101,71,31.61,34.76,57.2,20.8
Port-Gentil,100,GA,1583030293,79,-0.72,8.78,81.95,15.1
Tomatlán,0,MX,1583030294,64,19.93,-105.25,68.99,1.54
Armidale,44,AU,1583030296,44,-30.52,151.65,75.0,4.0
Marzuq,13,YE,1583030297,67,14.4,46.47,62.29,4.14
Yumen,73,CN,1583030298,28,40.28,97.2,32.92,14.74
Khairpur Nathan Shah,0,PK,1583030299,48,27.09,67.73,67.6,8.37
Alofi,1,NU,1583030300,62,-19.06,-169.92,86.0,14.99
Rio Grande,0,BR,1583030301,80,-32.03,-52.1,70.74,10.74
Santa Marinella,75,IT,1583030303,82,42.03,11.85,55.4,13.87
Port Alfred,0,ZA,1583030304,92,-33.59,26.89,62.01,4.0
Talcahuano,90,CL,1583030305,93,-36.72,-73.12,57.2,6.93
Kizema,100,RU,1583030306,88,61.11,44.83,19.49,10.98
Port Lincoln,100,AU,1583030307,39,-34.73,135.87,75.6,13.18
Dingle,88,PH,1583030309,64,11.0,122.67,83.03,11.21
Dobele,90,LV,1583030310,100,56.62,23.28,33.8,11.41
Pacific Grove,75,US,1583030311,62,36.62,-121.92,53.6,12.75
Saint Paul Harbor,90,US,1583030312,97,57.79,-152.41,33.8,4.7
Luwingu,100,ZM,1583030313,97,-10.26,29.93,65.14,3.18
Barrow,1,US,1583030314,83,71.29,-156.79,-11.2,6.93
Lata,75,PT,1583030316,93,40.16,-8.33,55.4,5.82
Faanui,100,PF,1583030317,85,-16.48,-151.75,80.67,31.0
Saskylakh,74,RU,1583030318,92,71.92,114.08,-0.38,11.72
Ancud,0,CL,1583030319,77,-41.87,-73.82,62.6,13.87
Prince Rupert,75,CA,1583030320,68,54.32,-130.32,41.0,5.82
Norman Wells,75,CA,1583030321,76,65.28,-126.83,-9.4,4.7
Corinth,20,GR,1583030087,69,37.94,22.96,46.99,3.36
Atar,0,MR,1583030324,12,20.52,-13.05,66.97,7.65
Inhambane,100,MZ,1583030325,73,-23.86,35.38,74.53,15.68
Henties Bay,100,NA,1583030326,82,-22.12,14.28,66.56,2.75
Manaure,0,CO,1583030327,87,11.78,-72.44,77.07,16.93
Chokurdakh,0,RU,1583030328,85,70.63,147.92,-1.52,6.4
Ponta Delgada,75,PT,1583030329,93,37.73,-25.67,60.8,16.11
Naze,75,JP,1583030331,88,28.37,129.48,69.8,11.41
Porto União,43,BR,1583030332,94,-26.24,-51.08,58.33,5.95
Doha,0,QA,1583030333,82,25.29,51.53,64.99,2.24
Strezhevoy,100,RU,1583030334,80,60.73,77.59,30.2,11.18
Inírida,0,CO,1583030335,89,3.87,-67.92,75.34,2.93
Vao,58,NC,1583030336,84,-22.67,167.48,80.31,14.32
El Tigre,4,VE,1583030337,66,8.89,-64.25,76.17,15.19
La Rochelle,100,FR,1583030339,76,46.17,-1.15,50.0,12.75
Rosetown,71,CA,1583030340,92,51.55,-108.0,30.99,28.99
Carnarvon,0,AU,1583030341,58,-24.87,113.63,82.4,18.34
Margate,34,GB,1583030342,75,51.38,1.39,42.01,20.8
Meulaboh,98,ID,1583030343,78,4.14,96.13,82.71,7.63
Verkhoyansk,0,RU,1583030344,64,67.54,133.38,-0.02,0.63
Tezu,0,IN,1583030345,32,27.92,96.17,73.13,3.0
Potrerillos,75,HN,1583030347,93,15.23,-87.97,66.2,3.36
Guiyang,90,CN,1583030285,93,26.58,106.72,53.6,6.71
Andenes,100,NO,1583030349,79,69.31,16.12,26.01,16.11
Bandarbeyla,0,SO,1583030350,69,9.49,50.81,77.13,11.32
Sorong,33,ID,1583030351,55,-0.88,131.25,94.42,1.25
Khorixas,100,NA,1583030352,92,-20.37,14.97,63.46,6.2
Pangnirtung,31,CA,1583030353,90,66.15,-65.71,-21.08,3.0
Turukhansk,71,RU,1583030355,86,65.82,87.98,5.4,9.75
Dikson,100,RU,1583030356,79,73.51,80.55,11.52,22.44
Nanortalik,0,GL,1583030357,64,60.14,-45.24,13.96,13.09
Severo-Kuril'sk,97,RU,1583030358,80,50.68,156.12,25.27,2.82
Presidencia Roque Sáenz Peña,0,AR,1583030359,47,-26.79,-60.44,70.88,2.68
Porteirinha,100,BR,1583030360,87,-15.74,-43.03,70.86,4.25
Provideniya,0,RU,1583030362,75,64.38,-173.3,0.45,14.2
Paita,92,PE,1583030363,75,-5.09,-81.11,77.76,9.86
Camacha,75,PT,1583030364,88,33.08,-16.33,64.4,11.41
Dali,0,CN,1583030365,45,25.7,100.18,58.8,4.47
Cacoal,75,BR,1583030366,96,-11.44,-61.45,70.65,2.26
Pochutla,75,MX,1583030367,88,15.74,-96.47,82.4,5.82
Jijiga,67,ET,1583030368,32,9.35,42.8,60.08,2.77
Vanimo,100,PG,1583030370,85,-2.67,141.3,80.91,11.95
Sørland,100,NO,1583030371,61,67.67,12.69,31.06,22.64
Iida,93,JP,1583030372,55,35.52,137.82,61.0,1.99
Comodoro Rivadavia,36,AR,1583030373,68,-45.87,-67.5,68.0,1.12
Ponta do Sol,20,PT,1583030374,72,32.67,-17.1,62.6,4.7
Lagoa,100,PT,1583030375,84,39.05,-27.98,61.84,27.16
Mangochi,100,MW,1583030377,99,-14.48,35.26,66.0,3.33
Camaná,91,PE,1583030378,82,-16.62,-72.71,67.28,4.0
Cap Malheureux,40,MU,1583030379,94,-19.98,57.61,77.0,5.12
Severiano Melo,62,BR,1583030380,89,-5.78,-37.96,75.22,4.18
Honolulu,40,US,1583030344,47,21.31,-157.86,78.8,23.04
Eldorado,0,BR,1583030382,90,-23.79,-54.28,66.47,1.25
Ongandjera,0,NA,1583030383,72,-17.88,15.07,64.17,6.24
Hasaki,75,JP,1583030344,50,35.73,140.83,59.0,8.05
Lüderitz,13,NA,1583030386,93,-26.65,15.16,64.4,9.17
Laas,75,IT,1583030387,79,46.62,10.7,32.0,10.29
Mezen',93,RU,1583030388,97,65.85,44.24,7.92,6.71
Nadym,100,RU,1583030389,89,65.53,72.52,28.96,26.04
Airai,87,TL,1583030390,52,-8.93,125.41,84.27,4.0
Latur,76,IN,1583030391,51,18.4,76.58,75.67,7.76
Tocopilla,0,CL,1583030393,71,-22.09,-70.2,60.84,1.74
Surgāna,0,IN,1583030394,23,20.57,73.62,75.52,2.35
Kavieng,75,PG,1583030395,69,-2.57,150.8,84.88,2.95
Mahon,65,ES,1583030396,87,39.89,4.27,57.2,9.17
Rabo de Peixe,75,PT,1583030397,93,37.8,-25.58,60.8,16.11
Kapit,100,MY,1583030398,85,2.02,112.93,80.33,0.18
Hirara,75,JP,1583030345,83,24.8,125.28,77.0,17.22
George Town,20,MY,1583030170,69,5.41,100.34,86.0,5.82
Mount Gambier,99,AU,1583030402,53,-37.83,140.77,73.4,17.22
Masuda,75,JP,1583030403,71,34.67,131.85,63.0,3.36
Ures,98,MX,1583030404,25,29.43,-110.4,75.0,1.01
Čajniče,12,BA,1583030405,40,43.56,19.07,37.4,10.29
Cabo San Lucas,20,MX,1583030406,68,22.89,-109.91,70.0,5.23
Yenangyaung,0,MM,1583030408,30,20.47,94.88,78.44,3.98
Saint Anthony,1,US,1583030409,74,45.02,-93.22,37.0,10.29
Hilo,20,US,1583030410,54,19.73,-155.09,78.8,13.87
Retie,40,BE,1583030411,75,51.27,5.08,43.0,16.11
Thaba-Tseka,20,LS,1583030412,95,-29.52,28.61,40.95,2.95
Neiafu,40,TO,1583030414,74,-18.65,-173.98,86.0,9.17
Cidreira,0,BR,1583030415,76,-30.18,-50.21,73.76,13.35
Khatanga,96,RU,1583030416,94,71.97,102.5,1.15,13.42
Portland,90,US,1583030168,81,45.52,-122.68,42.8,3.36
Roald,100,NO,1583030418,69,62.58,6.13,37.4,20.8
Makkah al Mukarramah,0,SA,1583030419,67,21.43,39.83,68.27,1.92
Xining,100,CN,1583030421,63,36.62,101.77,26.01,7.74
Rameswaram,100,IN,1583030422,73,9.28,79.3,79.84,13.53
Nicoya,0,CR,1583030423,61,10.15,-85.45,82.4,28.86
Manhattan,40,US,1583030210,39,40.78,-73.97,28.99,12.75
Ozar,0,IN,1583030281,25,20.1,73.93,73.98,1.23
Shingū,75,JP,1583030426,62,33.73,135.98,55.4,5.82
Geraldton,0,AU,1583030427,51,-28.77,114.6,82.4,18.34
San Miguel de Cozumel,40,MX,1583030403,53,20.51,-86.95,73.4,10.29
Ipilan,100,PH,1583030430,66,8.84,117.9,83.46,11.39
Tam Ky,20,VN,1583030431,78,15.57,108.48,80.6,3.36
Pisco,75,PE,1583030432,83,-13.7,-76.22,73.4,16.11
Korla,0,CN,1583030396,53,41.76,86.15,31.46,0.65
Zyryanka,0,RU,1583030434,78,65.75,150.85,14.4,13.76
Szczytno,100,PL,1583030436,86,53.56,20.99,41.0,12.75
Bouaké,0,CI,1583030437,61,7.69,-5.02,82.4,6.93
Omsukchan,100,RU,1583030438,99,62.53,155.8,-0.38,6.73
Aksu,20,CN,1583030439,35,41.12,80.26,44.06,2.62
Faya,0,SA,1583030440,76,18.39,42.45,57.2,4.7
Nyurba,100,RU,1583030441,93,63.28,118.33,4.01,3.47
Ingham,75,US,1583030443,58,42.6,-84.38,27.0,8.05
Zeya,98,RU,1583030444,88,53.75,127.27,12.24,3.8
Balaipungut,100,ID,1583030445,61,1.05,101.28,85.37,3.49
Vila Velha,75,BR,1583030419,94,-20.33,-40.29,77.0,3.36
Nizhniy Mamon,0,RU,1583030447,80,50.19,40.51,31.66,3.49
Ixtapa,5,MX,1583030448,88,20.7,-105.2,75.2,5.82
Krasnosel'kup,100,RU,1583030449,78,65.7,82.47,11.71,27.42
Ushibukamachi,100,JP,1583030451,87,32.19,130.02,55.87,10.27
Kabo,28,CF,1583030452,24,7.7,18.63,71.53,1.23
College,1,US,1583030322,64,64.86,-147.8,8.6,3.15
Pimentel,90,PE,1583030454,29,-6.84,-79.93,66.2,9.17
Jalu,0,LY,1583030455,74,29.03,21.55,54.9,5.08
Beloha,89,MG,1583030456,86,-25.17,45.05,69.31,13.67
Barcelos,75,PT,1583030458,100,41.54,-8.62,53.6,14.99
Macao,40,MO,1583030459,88,22.2,113.55,75.0,2.24
Isangel,75,VU,1583030460,79,-19.55,169.27,87.8,10.47
Safaga,0,EG,1583030461,64,26.73,33.94,51.85,4.32
Zigong,54,CN,1583030462,50,29.34,104.78,67.8,5.3
Galle,92,LK,1583030463,78,6.04,80.22,78.89,6.78
Puerto del Rosario,20,ES,1583030465,82,28.5,-13.86,62.6,8.05
Quatre Cocos,40,MU,1583030466,94,-20.21,57.76,77.0,4.0
Oktyabr'skoye,100,RU,1583030467,88,43.06,44.74,31.08,2.84
Province of Mantua,75,IT,1583030468,81,45.17,10.78,50.0,5.82
Talagang,0,PK,1583030469,80,32.93,72.42,55.35,3.29
Alice Springs,100,AU,1583030470,12,-23.7,133.88,95.0,14.99
Hong Kong,40,HK,1583030224,88,22.29,114.16,75.99,4.7
Atbasar,100,KZ,1583030464,82,51.8,68.33,21.15,9.33
Antofagasta,95,CL,1583030474,82,-23.65,-70.4,66.2,10.29
Esperance,90,AU,1583030475,82,-33.87,121.9,64.4,21.92
Mana,54,GF,1583030476,90,5.66,-53.78,72.12,2.71
Turtas,100,RU,1583030477,91,58.94,69.13,28.76,10.92
Kara,9,TG,1583030478,19,9.55,1.19,74.25,3.24
Shelui,100,TZ,1583030480,95,-4.37,34.2,65.48,2.8
Obo,0,CF,1583030481,28,5.4,26.49,69.84,5.14
Flinders,59,AU,1583030482,51,-34.58,150.86,87.01,9.17
Kaifeng,90,CN,1583030285,87,34.79,114.35,44.6,6.71
Yangi Marg`ilon,0,UZ,1583030484,61,40.43,71.72,37.4,4.7
Khani,90,GE,1583030485,100,41.96,42.96,46.4,14.99
Auki,100,SB,1583030487,67,-8.77,160.7,85.53,3.2
Misratah,0,LY,1583030488,67,32.38,15.09,61.48,15.39
Berlevåg,100,NO,1583030489,71,70.86,29.09,29.71,15.82
Ambāgarh Chauki,0,IN,1583030490,30,20.78,80.72,77.63,5.03
Rafaela,0,AR,1583030491,47,-31.25,-61.49,75.0,1.01
Khovu-Aksy,100,RU,1583030492,83,51.13,93.6,19.99,4.5
Port-Cartier,75,CA,1583030494,92,50.03,-66.87,12.2,4.7
Ilulissat,29,GL,1583030495,51,69.22,-51.1,-14.8,3.36
Dukat,17,RU,1583030496,91,62.55,155.55,4.05,4.72
Jerome,90,US,1583030497,44,42.72,-114.52,39.2,10.29
Campos Novos,8,BR,1583030498,98,-27.4,-51.23,56.77,4.32
Coyhaique,37,CL,1583030499,72,-45.58,-72.07,59.0,4.7
Makakilo City,90,US,1583030500,77,21.35,-158.09,78.8,12.75
Port Hueneme,1,US,1583030502,77,34.15,-119.2,60.8,8.05
Hambantota,0,LK,1583030503,100,6.12,81.12,75.2,3.36
Sistranda,75,NO,1583030504,68,63.73,8.83,27.0,16.11
Maracaçumé,100,BR,1583030505,98,-2.04,-45.96,74.41,2.86
Esim,5,GH,1583030506,95,4.87,-2.24,78.21,4.59
Sur,0,OM,1583030508,48,22.57,59.53,67.75,5.21
Kouango,79,CF,1583030509,40,4.99,19.96,75.06,3.89
Marsaxlokk,20,MT,1583030510,100,35.84,14.54,59.0,12.75
Kobelyaky,0,UA,1583030511,77,49.15,34.2,33.98,6.04
Dzerzhinskoye,99,RU,1583030512,92,56.83,95.23,15.64,8.5
Arraial do Cabo,89,BR,1583030500,87,-22.97,-42.03,76.33,15.57
Minna,81,NG,1583030515,14,9.61,6.56,85.57,3.15
Perbaungan,75,ID,1583030516,83,3.57,98.96,86.0,8.05
Phayao,0,TH,1583030517,34,19.25,100.25,87.62,3.15
Klaksvík,100,FO,1583030518,91,62.23,-6.59,39.2,29.97
Williston,40,US,1583030512,60,48.15,-103.62,42.8,11.41
Atasū,100,KZ,1583030520,63,48.68,71.64,26.74,7.4
Port Macquarie,19,AU,1583030522,54,-31.43,152.92,91.0,8.05
Omboué,100,GA,1583030523,93,-1.57,9.26,74.59,4.54
Kaduqli,0,SD,1583030524,11,11.02,29.72,73.65,16.02
Sarankhola,0,BD,1583030525,34,22.31,89.79,78.8,3.47
General Roca,0,AR,1583030526,44,-39.03,-67.58,77.0,3.36
Mehamn,100,NO,1583030527,79,71.04,27.85,23.05,12.19
San Luis,0,AR,1583030284,28,-33.3,-66.34,76.78,10.16
Córdoba,0,AR,1583030275,88,-31.41,-64.18,75.99,6.93
Dhidhdhoo,40,MV,1583030531,76,6.88,73.1,82.11,11.32
Las Palmas,20,ES,1583030532,82,28.42,-14.01,60.8,8.05
Turaif,40,SA,1583030531,93,31.67,38.66,46.4,14.99
Longyearbyen,40,SJ,1583030534,77,78.22,15.64,-2.2,10.29
Marfino,100,RU,1583030536,92,55.7,37.38,32.0,4.47
Fairbanks,1,US,1583030537,64,64.84,-147.72,5.0,3.47
Coquimbo,4,CL,1583030508,87,-29.95,-71.34,60.8,5.82
Burgeo,59,CA,1583030539,84,47.62,-57.62,30.56,5.3
Sanming,97,CN,1583030540,72,26.25,117.62,66.47,4.47
Markovo,99,RU,1583030541,90,57.32,107.09,15.84,1.61
Volkhov,100,RU,1583030543,90,59.93,32.34,27.19,9.84
Ribas do Rio Pardo,0,BR,1583030544,91,-20.44,-53.76,67.75,4.47
Banda Aceh,52,ID,1583030545,63,5.56,95.32,84.94,7.09
Burns Lake,0,CA,1583030525,92,54.23,-125.75,21.45,2.66
Uslar,75,DE,1583030547,75,51.66,9.63,43.0,11.41
Deputatsky,0,RU,1583030548,63,69.3,139.9,4.82,4.76
Cortez,75,US,1583030549,33,37.35,-108.59,42.8,3.89
Ahipara,100,NZ,1583030551,68,-35.17,173.17,84.99,1.99
Sühbaatar,100,MN,1583030552,81,50.23,106.21,13.3,3.29
San Andrés,75,CO,1583030371,83,12.58,-81.7,78.8,13.87
Cabras,91,IT,1583030554,93,39.93,8.53,50.0,4.0
Cervo,11,ES,1583030555,1,43.67,-7.41,51.01,18.01
Nome,1,US,1583030556,55,64.5,-165.41,9.0,4.7
Sulina,17,RO,1583030558,88,45.16,29.65,39.25,5.84
Rumoi,100,JP,1583030559,88,43.93,141.64,28.53,9.55
Marawi,41,PH,1583030560,58,8.0,124.29,79.18,5.23
Wanning,15,CN,1583030561,74,18.8,110.4,77.9,5.5
Zhigansk,84,RU,1583030562,97,66.77,123.37,-6.41,7.38
Ust-Kuyga,0,RU,1583030464,86,70.02,135.6,-4.31,7.34
Dumas,1,US,1583030565,24,35.87,-101.97,66.2,9.17
Conakry,0,GN,1583030566,83,9.54,-13.68,80.6,2.24
Brae,99,GB,1583030567,70,60.4,-1.35,39.2,16.11
Torbay,5,CA,1583030568,73,47.67,-52.73,23.0,10.29
Matara,91,LK,1583030569,65,5.95,80.54,81.68,5.48
La Ronge,90,CA,1583030570,79,55.1,-105.28,26.6,13.87
Revúca,40,SK,1583030571,74,48.68,20.12,34.0,9.17
Kincardine,75,GB,1583030573,86,56.07,-3.72,41.0,33.33
Acarí,100,PE,1583030574,79,-15.43,-74.62,69.1,2.01
Danilovka,0,RU,1583030575,83,50.36,44.12,30.7,3.96
Saint-Augustin,0,CA,1583030552,89,51.23,-58.65,12.54,3.29
Almeirim,62,BR,1583030577,88,-1.52,-52.58,76.51,3.02
Alvorada,100,BR,1583030578,94,-12.48,-49.12,74.37,3.74
Katsuura,75,JP,1583030579,47,35.13,140.3,64.99,4.7
Poronaysk,25,RU,1583030581,85,49.22,143.12,15.84,3.62
Broken Hill,41,AU,1583030582,13,-31.95,141.43,91.4,12.75
Lake City,1,US,1583030467,61,30.19,-82.64,51.01,3.22
Galesong,75,ID,1583030584,79,-5.32,119.37,86.0,2.24
Luanda,75,AO,1583030585,88,-8.84,13.23,75.2,5.82
Linqiong,40,CN,1583030586,67,30.42,103.46,66.99,2.24
Orange Cove,1,US,1583030588,50,36.62,-119.31,69.8,5.82
Salalah,40,OM,1583030589,43,17.02,54.09,71.6,5.82
Kirakira,35,SB,1583030590,70,-10.45,161.92,85.19,5.32
Kurumkan,82,RU,1583030591,86,54.3,110.3,10.35,2.17
Acapulco de Juárez,5,MX,1583030522,74,16.86,-99.89,82.4,5.82
Lanzhou,99,CN,1583030593,63,36.06,103.79,48.99,6.71
Hammerfest,100,NO,1583030558,62,70.66,23.68,24.8,21.92
Praia,97,CV,1583030596,73,14.92,-23.51,71.6,13.87
Gouré,97,NE,1583030597,21,13.98,10.27,77.0,5.99
Vila Franca do Campo,75,PT,1583030598,93,37.72,-25.43,60.8,16.11
